Key pressed: CapsLock, Timestamp: 2025-06-11T16:17:13.778Z
Key pressed: A, Timestamp: 2025-06-11T16:17:13.797Z
Key pressed: A, Timestamp: 2025-06-11T16:17:13.995Z
Key pressed: A, Timestamp: 2025-06-11T16:17:14.444Z
Key pressed: X, Timestamp: 2025-06-11T16:17:14.777Z
Key pressed: X, Timestamp: 2025-06-11T16:17:15.069Z
Key pressed: X, Timestamp: 2025-06-11T16:17:15.381Z
Key pressed: A, Timestamp: 2025-06-11T16:17:15.484Z
Key pressed: A, Timestamp: 2025-06-11T16:17:15.754Z
Key pressed: S, Timestamp: 2025-06-11T16:17:15.948Z
Key pressed: X, Timestamp: 2025-06-11T16:17:16.175Z
Key pressed: A, Timestamp: 2025-06-11T16:17:16.406Z
Key pressed: Z, Timestamp: 2025-06-11T16:17:17.160Z
Key pressed: X, Timestamp: 2025-06-11T16:17:17.473Z
Key pressed: Z, Timestamp: 2025-06-11T16:17:17.693Z
Key pressed: X, Timestamp: 2025-06-11T16:17:17.922Z
Key pressed: Z, Timestamp: 2025-06-11T16:17:18.077Z
Key pressed: X, Timestamp: 2025-06-11T16:17:18.184Z
Key pressed: Z, Timestamp: 2025-06-11T16:17:18.320Z
